match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8807787058,7402364401,False,1778566098,1898,0,23,33,2,193,"[105, 21, 25, 100, 7]","[84, 95, 48, 22, 35]"
8807787049,7402364733,True,1778566108,1931,0,23,25,1,201,"[85, 74, 84, 15, 32]","[35, 54, 129, 121, 75]"
8807787048,7402353307,True,1778566103,438,0,23,23,1,186,"[16, 5, 49, 80, 59]","[17, 6, 25, 129, 47]"
8807787047,7402363574,False,1778566098,1701,7,22,32,6,227,"[29, 13, 20, 26, 27]","[86, 43, 8, 56, 14]"
8807787042,7402365525,False,1778566108,2033,0,23,41,1,251,"[49, 29, 128, 64, 72]","[96, 138, 1, 26, 108]"
8807787037,7402361020,True,1778566098,1432,0,23,52,4,182,"[11, 73, 45, 22, 30]","[75, 5, 67, 9, 71]"
8807787018,7402354045,True,1778566108,522,0,23,35,3,185,"[11, 30, 1, 26, 2]","[44, 98, 7, 114, 74]"
8807787016,7402360197,False,1778566088,1284,0,23,31,2,152,"[100, 7, 114, 131, 40]","[54, 71, 97, 90, 11]"
8807787006,7402361769,False,1778566103,1552,0,23,15,2,121,"[75, 22, 41, 47, 49]","[119, 86, 42, 59, 50]"
8807786997,7402360713,True,1778566103,1405,0,23,45,5,154,"[86, 9, 145, 15, 14]","[50, 8, 97, 129, 5]"
8807786996,7402364666,False,1778566103,1898,0,23,62,6,182,"[105, 54, 22, 35, 113]","[120, 123, 42, 128, 46]"
8807786987,7402358264,True,1778566103,1072,0,23,51,3,227,"[94, 45, 35, 2, 30]","[21, 41, 52, 7, 51]"
8807786986,7402361052,False,1778566103,1448,0,23,35,3,185,"[23, 37, 25, 8, 87]","[74, 5, 84, 93, 104]"
8807786984,7402365055,False,1778566103,1985,0,23,61,6,182,"[31, 6, 30, 35, 110]","[19, 86, 71, 129, 126]"
8807786983,7402365054,True,1778566098,1899,0,4,45,1,151,"[109, 68, 43, 14, 137]","[86, 85, 105, 40, 82]"
8807786976,7402363666,False,1778566098,1739,0,4,44,3,184,"[121, 37, 126, 14, 58]","[29, 36, 119, 2, 12]"
8807786969,7402363775,False,1778566098,1670,7,22,51,8,151,"[42, 25, 37, 11, 27]","[40, 135, 14, 73, 39]"
8807786952,7402363270,False,1778566093,1669,7,22,42,4,182,"[36, 85, 1, 104, 101]","[86, 47, 54, 28, 74]"
8807786938,7402364536,True,1778566093,1771,7,22,51,6,185,"[120, 37, 71, 84, 1]","[80, 85, 145, 16, 110]"
8807786923,7402362650,False,1778566088,1594,7,22,72,5,185,"[2, 111, 51, 70, 17]","[22, 91, 104, 69, 85]"
8807786922,7402364793,False,1778566088,1868,7,3,75,7,227,"[137, 102, 11, 75, 87]","[107, 123, 135, 86, 70]"
8807786907,7402365764,True,1778566093,2013,7,22,72,5,154,"[135, 5, 27, 35, 97]","[60, 6, 26, 40, 74]"
8807786906,7402359854,False,1778566093,1284,0,23,63,7,153,"[111, 30, 59, 35, 145]","[123, 14, 93, 48, 104]"
8807786904,7402362844,False,1778566088,1602,7,22,15,1,381,"[37, 54, 101, 28, 96]","[42, 36, 86, 135, 97]"
8807786897,7402365201,True,1778566093,1937,7,22,25,2,184,"[35, 22, 2, 74, 1]","[27, 26, 81, 126, 104]"
8807786896,7402364754,True,1778566088,1893,7,22,24,3,151,"[9, 71, 67, 138, 84]","[35, 108, 36, 25, 6]"
8807786895,7402360884,True,1778566083,1428,0,23,43,5,413,"[88, 80, 108, 87, 41]","[22, 36, 69, 75, 14]"
8807786894,7402358070,True,1778566073,1070,0,23,35,3,183,"[70, 61, 27, 74, 84]","[81, 36, 62, 20, 45]"
8807786889,7402361146,True,1778566093,1474,0,23,55,3,151,"[120, 98, 8, 30, 22]","[64, 84, 14, 95, 123]"
8807786888,7402361377,False,1778566093,1449,0,23,24,5,145,"[40, 71, 2, 10, 128]","[136, 73, 65, 105, 30]"
8807786886,7402363114,True,1778566093,1738,0,23,43,5,223,"[61, 95, 88, 2, 40]","[100, 30, 6, 108, 7]"
8807786883,7402365786,False,1778566088,2096,0,23,23,3,152,"[96, 38, 46, 26, 6]","[35, 2, 53, 16, 14]"
8807786876,7402363058,True,1778566083,1635,7,22,41,5,227,"[71, 93, 35, 60, 40]","[69, 26, 13, 74, 41]"
8807786870,7402360384,True,1778566088,1344,0,23,22,2,151,"[56, 41, 22, 84, 29]","[5, 8, 47, 128, 6]"
8807786868,7402366486,True,1778566083,2068,7,22,32,3,153,"[14, 58, 63, 5, 36]","[44, 35, 15, 84, 39]"
8807786860,7402364758,True,1778566088,1892,7,22,25,7,227,"[108, 87, 84, 104, 44]","[114, 26, 39, 8, 14]"
8807786858,7402358707,True,1778566088,1138,0,23,62,1,251,"[74, 114, 86, 80, 55]","[120, 104, 63, 100, 11]"
8807786837,7402363642,False,1778566083,1825,0,23,64,3,187,"[23, 26, 39, 3, 8]","[35, 55, 22, 93, 21]"
8807786836,7402366638,True,1778566083,2151,7,22,33,3,227,"[21, 62, 41, 88, 135]","[101, 2, 93, 52, 30]"
8807786835,7402364380,True,1778566083,1764,7,22,71,7,227,"[64, 101, 41, 48, 29]","[55, 128, 14, 26, 54]"
8807786824,7402366503,True,1778566078,2117,7,22,23,3,183,"[50, 100, 46, 38, 7]","[30, 107, 114, 25, 19]"
8807786822,7402366339,False,1778566068,2091,7,22,61,6,152,"[46, 28, 27, 7, 9]","[129, 14, 67, 36, 101]"
