match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,role_Carry_radiant,role_Carry_dire,role_Disabler_radiant,role_Disabler_dire,role_Durable_radiant,role_Durable_dire,role_Escape_radiant,role_Escape_dire,role_Initiator_radiant,role_Initiator_dire,role_Nuker_radiant,role_Nuker_dire,role_Pusher_radiant,role_Pusher_dire,role_Support_radiant,role_Support_dire,attr_agi_radiant,attr_agi_dire,attr_all_radiant,attr_all_dire,attr_int_radiant,attr_int_dire,attr_str_radiant,attr_str_dire,attr_unknown_radiant,attr_unknown_dire,radiant_win_rate
8806519223,7401307640,False,1778483120,1005,0,23,35,4,272,0.8,0.6,0.8,0.8,0.4,0.2,0.6,0.0,0.2,0.4,0.4,0.8,0.0,0.0,0.2,0.4,0.4,0.4,0.2,0.0,0.2,0.4,0.2,0.2,0.0,0.0,0
8806518989,7401306802,True,1778483105,918,0,23,22,1,185,0.6,0.8,0.8,0.6,0.2,0.2,0.4,0.8,0.6,0.4,0.6,0.4,0.6,0.2,0.4,0.2,0.6,0.8,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1
8806518900,7401307930,False,1778483095,1072,0,23,24,1,182,0.4,0.6,0.8,0.6,0.6,0.4,0.2,0.2,0.4,0.6,0.6,0.8,0.4,0.2,0.6,0.2,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0
8806518840,7401308378,False,1778483089,1121,0,23,62,3,171,0.4,0.6,1.0,0.8,0.4,0.6,0.4,0.4,0.8,0.6,0.8,0.4,0.2,0.2,0.6,0.4,0.2,0.6,0.0,0.0,0.4,0.2,0.4,0.2,0.0,0.0,0
8806518823,7401308327,False,1778483090,1121,0,23,43,3,151,0.4,0.6,1.0,0.4,0.2,0.2,0.4,0.6,0.4,0.2,1.0,0.6,0.0,0.2,0.8,0.2,0.2,0.6,0.0,0.0,0.4,0.2,0.4,0.2,0.0,0.0,0
8806518787,7401302900,True,1778483080,482,0,22,63,4,225,1.0,0.8,0.2,1.0,0.4,0.8,0.6,0.4,0.0,0.8,0.4,0.4,0.6,0.2,0.0,0.2,0.8,0.4,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1
8806518749,7401307019,True,1778483080,980,0,23,51,3,172,0.6,0.6,0.6,1.0,0.0,0.2,0.2,0.4,0.4,0.6,1.0,0.8,0.4,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.4,0.6,0.0,0.2,0.0,0.0,1
8806518689,7401307317,False,1778483075,1015,0,23,34,3,184,0.4,0.8,1.0,1.0,0.4,0.8,0.4,0.0,0.2,0.8,1.0,0.6,0.0,0.2,0.4,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.4,0.8,0.0,0.0,0
8806518667,7401308661,True,1778483075,1176,0,23,41,3,151,0.2,0.8,1.0,0.8,0.4,0.4,0.0,0.8,0.4,0.2,1.0,0.6,0.0,0.0,1.0,0.4,0.0,0.4,0.0,0.0,0.4,0.4,0.6,0.2,0.0,0.0,1
8806518601,7401305305,False,1778483070,783,0,23,34,3,191,0.4,1.0,0.6,0.4,0.2,0.4,0.2,0.6,0.2,0.2,1.0,0.4,0.2,0.2,0.4,0.2,0.2,0.4,0.0,0.2,0.6,0.4,0.2,0.0,0.0,0.0,0
